STATE,TOP LOCATION,LINK,LOCATION TAG
i.e.Maryland,Camden Yards,https://www.instagram.com/explore/tags/camdenyards/,691701615
Alabama,Bryant–Denny Stadium,https://www.instagram.com/explore/locations/238235643/,238235643
Alaska,Denali National Park and Preserve,https://www.instagram.com/explore/locations/215181771/,255181771
Arizona,Grand Canyon National Park,https://www.instagram.com/explore/locations/211064064/,211064064
Arkansas,Crystal Bridges Museum of American Art,https://www.instagram.com/explore/locations/3191611/,3191611
California,Disneyland,https://www.instagram.com/explore/locations/212893092/,212893092
Colorado,Red Rocks Park and Amphitheatre,https://www.instagram.com/explore/locations/18797/,18797
Connecticut,Foxwoods Resort Casino,https://www.instagram.com/explore/locations/213435282/,213435282
Delaware,"Rehoboth Beach, Delaware",https://www.instagram.com/explore/locations/222270621/,222270621
Florida,Magic Kingdom,https://www.instagram.com/explore/locations/207747871/,207747871
Georgia ,Georgia Aquarium,https://www.instagram.com/explore/locations/873511/,873511
Hawaii,Hilton Hawaiian Village Waikiki Beach Resort,https://www.instagram.com/explore/locations/1192409/,1192409
Idaho,Lake Coeur d'Alene,https://www.instagram.com/explore/locations/1020423/,1020423
Illinois,Wrigley Field,https://www.instagram.com/explore/locations/2720841/,2720841
Indiana,Lucas Oil Stadium,https://www.instagram.com/explore/locations/822212/,82212
Iowa,Iowa State Fairgrounds,https://www.instagram.com/explore/locations/254989144/,254989144
Kansas,The University of Kansas,https://www.instagram.com/explore/locations/2236625/,2236625
Kentucky,Churchill Downs,https://www.instagram.com/explore/locations/306057/,306057
Louisiana,Café Du Monde,https://www.instagram.com/explore/locations/3001476/,3001476
Maine,Acadia National Park,https://www.instagram.com/explore/locations/240182384/,240182384
Maryland,Orioles Park At Camden Yards,https://www.instagram.com/explore/locations/691701615/,691701615
Massachusetts,Fenway Park,https://www.instagram.com/explore/locations/1119/,1119
Michigan,Comerica Park,https://www.instagram.com/explore/locations/90392/,90392
Minnesota,Minnesota State Fair,https://www.instagram.com/explore/locations/308072/,308072
Mississippi,Mississippi State University,https://www.instagram.com/explore/locations/65647/,65647
Missouri,Saint Louis Zoo,https://www.instagram.com/explore/locations/81321/,81321
Montana,Glacier National Park,https://www.instagram.com/explore/locations/213692596/,213692596
Nebraska,Henry Doorly Zoo and Aquarium,https://www.instagram.com/explore/locations/126189/,126189
Nevada,Bellagio Las Vegas,https://www.instagram.com/explore/locations/101735518/,101735518
New Hampshire,Lake Winnipesaukee,https://www.instagram.com/explore/locations/337358755/,337358755
New Mexico,Albuquerque International Balloon Fiesta,https://www.instagram.com/explore/locations/5388261/,5388261
New York,"Times Square, New York City",https://www.instagram.com/explore/locations/3001373/,3001373
North Carolina,PNC Music Pavilion,https://www.instagram.com/explore/locations/236396777/,236396777
North Dakota,University of North Dakota,https://www.instagram.com/explore/locations/4800319/,4800319
Ohio,Cedar Point,https://www.instagram.com/explore/locations/1295122/,1295122
Oklahoma,BOK Center,https://www.instagram.com/explore/locations/43252/,43252
Oregon,Multnomah Falls,https://www.instagram.com/explore/locations/213399276/,213399276
Pennsylvania,PNC Park,https://www.instagram.com/explore/locations/1877/,1877
Rhode Island,Brown University ,https://www.instagram.com/explore/locations/82790/,82790
South Carolina,Hilton Head Island,https://www.instagram.com/explore/locations/213841211/,213841211
South Dakota,University of North Dakota,https://www.instagram.com/explore/locations/1759243/,1759243
Tennessee,Bonnaroo,https://www.instagram.com/explore/locations/213813799/,213813799
Texas,AT&T Stadium,https://www.instagram.com/explore/locations/1421554/,1421554
Utah ,Zion National Park,https://www.instagram.com/explore/locations/212934193/,212934193
Vermont,Harpoon Brewery,https://www.instagram.com/explore/locations/313493454/,313493454
Virginia,Jiffy Lube Live,https://www.instagram.com/explore/locations/3860810/,3860810
Washington,Pike Place Market,https://www.instagram.com/explore/locations/3001435/,3001435
West Virginia,Snowshoe Mountain,https://www.instagram.com/explore/locations/214639366/,214639366
Wisconsin,Miller Park Stadium,https://www.instagram.com/explore/locations/35626298/,35626298
Wyoming ,Yellowstone National Park,https://www.instagram.com/explore/locations/215326153/,215326153
DC,The White House,https://www.instagram.com/explore/locations/45784/,45784
